Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.6,2631847152,160774,16369.9,8780.0,4430,33326626,134259.1,cudaLaunchKernel
18.3,917503911,2320,395475.8,37760.0,472,18543932,1804346.1,cudaStreamSynchronize
7.1,356710571,47,7589586.6,5416589.0,75802,39427526,7351915.5,cuLibraryLoadData
6.9,347254448,15,23150296.5,14285.0,3436,194753271,55296265.6,cudaHostAlloc
6.8,338288446,8863,38168.6,14676.0,5636,10405131,203709.5,cudaMemcpyAsync
3.0,151216383,2564,58976.7,7293.0,4782,118746868,2345054.8,cudaLaunchKernelExC
2.8,141504179,9448,14977.2,10538.0,6147,622236,12962.7,cuLaunchKernel
0.9,43097560,160774,268.1,171.0,80,160163,1247.5,cuKernelGetName
0.6,28665177,67,427838.5,411599.0,2110,1093068,153184.7,cudaMalloc
0.4,17519862,1346,13016.2,9206.5,6550,117742,10092.1,cudaMemsetAsync
0.3,15008115,41,366051.6,10799.0,7544,2037395,572935.7,cudaDeviceSynchronize
0.2,10800688,9448,1143.2,583.0,271,2073875,27955.0,cuKernelGetFunction
0.1,3312447,2275,1456.0,894.0,201,899273,18991.5,cudaStreamIsCapturing
0.0,1102130,22,50096.8,14816.5,11191,375356,102481.1,cuLibraryUnload
0.0,499230,16,31201.9,829.0,623,482008,120220.7,cudaStreamCreateWithFlags
0.0,395567,1810,218.5,161.0,70,13883,491.6,cuGetProcAddress_v2
0.0,247054,19,13002.8,261.0,211,238798,54681.5,cudaEventCreateWithFlags
0.0,236685,94,2517.9,1653.0,331,41909,4394.8,cuLibraryGetKernel
0.0,30799,2,15399.5,15399.5,10075,20724,7530.0,cudaFree
0.0,12267,6,2044.5,1738.0,503,4953,1507.3,cuInit
0.0,5765,3,1921.7,2642.0,200,2923,1497.6,cudaGetDeviceProperties
0.0,4812,5,962.4,130.0,71,4339,1888.2,cuModuleGetLoadingMode
0.0,1718,3,572.7,241.0,231,1246,583.1,cudaGetDriverEntryPointByVersion
