Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.5,724852228185,9978,72645041.9,61791.5,975,22494407032,1132946662.2,pthread_cond_wait
8.0,69023513507,876,78793965.2,100228402.0,964,280293781,53971125.0,poll
4.5,38399780817,3973,9665185.2,135592.0,964,4120028358,190679894.4,pthread_cond_timedwait
1.9,15873174045,35731,444241.0,250275.0,1607,14354917,1149798.0,pthread_barrier_wait
0.3,2718957958,14365,189276.6,2180.0,964,212488263,4107664.5,read
0.3,2592282491,6300,411473.4,61158.5,964,123100202,3973906.3,pthread_mutex_lock
0.2,2078219917,192281,10808.2,3907.0,964,13989686,130591.3,ioctl
0.1,638774186,41697,15319.4,4229.0,964,5291759,58200.9,stat64
0.0,411329161,122,3371550.5,939486.5,24460,17777500,4320623.7,sem_wait
0.0,250659942,8903,28154.5,6791.0,1265,2582518,85655.3,open64
0.0,208080347,41,5075130.4,5073793.0,4982863,5274521,58291.5,nanosleep
0.0,145923261,95,1536034.3,453107.0,3284,14645514,2735747.9,fread
0.0,136126393,28090,4846.1,3144.0,1255,35317315,210755.1,munmap
0.0,130152507,6549,19873.6,16253.0,964,459098,17643.8,pthread_cond_signal
0.0,76210885,5820,13094.7,16464.0,964,261371,9743.1,pthread_cond_broadcast
0.0,60940345,27870,2186.6,1798.0,1477,123358,2235.3,mmap64
0.0,54141375,45,1203141.7,1094434.0,1070445,2114318,317993.5,clock_nanosleep
0.0,23088851,16426,1405.6,1296.0,1014,657752,5182.5,lstat64
0.0,17705203,156,113494.9,99530.0,51171,640187,66389.6,pthread_create
0.0,14850131,51,291179.0,11532.0,6499,5677491,865001.7,pthread_join
0.0,13852307,6988,1982.3,1879.0,964,118526,1708.1,close
0.0,6378308,55,115969.2,141389.0,2842,189410,64895.9,open
0.0,4109870,513,8011.4,4842.0,1055,522682,28566.5,fopen
0.0,3690046,14,263574.7,127807.5,51457,706090,235175.4,pthread_rwlock_wrlock
0.0,3389473,210,16140.3,2340.0,984,213445,28342.7,fgets
0.0,2949048,502,5874.6,4897.0,1918,88641,5605.0,mmap
0.0,2353769,372,6327.3,5661.0,1266,109952,6546.4,mprotect
0.0,2274172,489,4650.7,1939.0,975,187397,12910.9,fclose
0.0,1876120,1259,1490.2,1105.0,964,252893,7281.6,fstat64
0.0,1721716,17,101277.4,95662.0,83618,203710,26586.7,sleep
0.0,1254782,90,13942.0,13129.5,1014,56123,9504.5,write
0.0,1249430,204,6124.7,3651.5,1938,86983,6797.4,pipe2
0.0,1111763,12,92646.9,88949.5,50217,139802,21064.1,pthread_rwlock_rdlock
0.0,1016017,83,12241.2,2251.0,1065,32065,11115.4,fflush
0.0,905053,85,10647.7,1888.0,1035,43678,10397.3,waitpid
0.0,808521,5,161704.2,87153.0,69328,490973,184258.2,sem_timedwait
0.0,661503,102,6485.3,5881.5,1587,23586,3176.9,fopen64
0.0,324385,8,40548.1,1632.5,1075,294842,102940.8,futex
0.0,190534,40,4763.4,4546.0,3968,7614,830.0,close_range
0.0,59739,42,1422.4,1351.0,1225,2501,234.3,fwrite
0.0,43728,2,21864.0,21864.0,5455,38273,23205.8,backtrace
0.0,34233,30,1141.1,1105.0,984,1567,136.7,fcntl
0.0,24018,2,12009.0,12009.0,7031,16987,7040.0,socket
0.0,22522,1,22522.0,22522.0,22522,22522,0.0,connect
0.0,22190,12,1849.2,1015.0,984,8840,2239.9,sigaction
0.0,21145,6,3524.2,1853.5,1416,12556,4431.3,statx
0.0,7645,1,7645.0,7645.0,7645,7645,0.0,bind
0.0,5606,1,5606.0,5606.0,5606,5606,0.0,memfd_create
0.0,3465,3,1155.0,1205.0,1054,1206,87.5,dup2
0.0,1255,1,1255.0,1255.0,1255,1255,0.0,getc
0.0,1005,1,1005.0,1005.0,1005,1005,0.0,getentropy
0.0,974,1,974.0,974.0,974,974,0.0,fcntl64
